<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_canonical_terms.csv>index,category,input,alias,ipa,priority
748,"Herzenshandlungen, Duʿāʾ & Spiritualität",Niyyah,Niyyah,nijjah,extended
749,"Herzenshandlungen, Duʿāʾ & Spiritualität",Khawf,Khawf,xawf,extended
750,"Herzenshandlungen, Duʿāʾ & Spiritualität",Raǧāʾ,Radschaa-,rad͡ʒaːʔ,extended
751,"Herzenshandlungen, Duʿāʾ & Spiritualität",Rajāʾ,Rajaa-,rajaːʔ,extended
752,"Herzenshandlungen, Duʿāʾ & Spiritualität",Maḥabbah,Mahabbah,maħabbah,extended
753,"Herzenshandlungen, Duʿāʾ & Spiritualität",Khuḍūʿ,Khuduu-,xudˤuːʕ,extended
754,"Herzenshandlungen, Duʿāʾ & Spiritualität",Inābah,Inaabah,inaːbah,extended
755,"Herzenshandlungen, Duʿāʾ & Spiritualität",Istiʿānah,Isti-aanah,istiʕaːnah,extended
756,"Herzenshandlungen, Duʿāʾ & Spiritualität",Istiʿāḏah,Isti-aadhah,istiʕaːðah,extended
757,"Herzenshandlungen, Duʿāʾ & Spiritualität",Istiġāṯah,Istighaathah,istiɣaːθah,extended
758,"Herzenshandlungen, Duʿāʾ & Spiritualität",Tawassul,Tawassul,tawassul,extended
759,"Herzenshandlungen, Duʿāʾ & Spiritualität",Barakah,Barakah,barakah,extended
760,"Herzenshandlungen, Duʿāʾ & Spiritualität",Niʿmah,Ni-mah,niʕmah,extended
761,"Herzenshandlungen, Duʿāʾ & Spiritualität",Riḍā,Ridaa,ridˤaː,extended
762,"Herzenshandlungen, Duʿāʾ & Spiritualität",Zuhd,Zuhd,zuhd,extended
763,"Herzenshandlungen, Duʿāʾ & Spiritualität",Waraʿ,Wara-,waraʕ,extended
764,"Herzenshandlungen, Duʿāʾ & Spiritualität",Yaqīn,Yaqiin,jaqiːn,extended
765,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ḥusn aẓ-ẓann,Husn az-zann,ħusn aðˤ.ðˤann,extended
766,"Herzenshandlungen, Duʿāʾ & Spiritualität",Sūʾ aẓ-ẓann,Suu az-zann,suːʔ aðˤ.ðˤann,extended
767,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ṣidq,Sidq,sˤidq,extended
768,"Herzenshandlungen, Duʿāʾ & Spiritualität",Amānah,Amaanah,amaːnah,extended
769,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ḥilm,Hilm,ħilm,extended
770,"Herzenshandlungen, Duʿāʾ & Spiritualität",Raḥmah,Rahmah,raħmah,extended
771,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ghaḍab,Ghadab,ɣadˤab,extended
772,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ġaḍab,Ghadab,ɣadˤab,extended
773,"Herzenshandlungen, Duʿāʾ & Spiritualität",Kibr,Kibr,kibr,extended
774,"Herzenshandlungen, Duʿāʾ & Spiritualität",ʿUjb,-Ujb,ʕujb,extended
775,"Herzenshandlungen, Duʿāʾ & Spiritualität",Riyāʾ,Riyaa-,rijaːʔ,extended
776,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ḥasad,Hasad,ħasad,extended
777,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ghibah,Ghibah,ɣibah,extended
778,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ġībah,Ghiibah,ɣiːbah,extended
779,"Herzenshandlungen, Duʿāʾ & Spiritualität",Namīmah,Namiimah,namiːmah,extended
780,"Herzenshandlungen, Duʿāʾ & Spiritualität",Fitnah,Fitnah,fitnah,extended
781,"Herzenshandlungen, Duʿāʾ & Spiritualität",Fitan,Fitan,fitan,extended
782,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ṣilah ar-raḥim,Silah ar-rahim,sˤilah ar.raħim,extended
783,"Herzenshandlungen, Duʿāʾ & Spiritualität",Birr al-wālidayn,Birr al-waalidayn,birr al.waːlidajn,extended
784,"Orte, Geschichte & Zeit",Makkah,Makkah,makkah,extended
785,"Orte, Geschichte & Zeit",Makkah al-Mukarramah,Makkah al-Mukarramah,makkah al.mukarramah,extended
786,"Orte, Geschichte & Zeit",Madinah,Madinah,madinah,extended
787,"Orte, Geschichte & Zeit",al-Madīnah,al-Madiinah,al.madiːnah,extended
788,"Orte, Geschichte & Zeit",al-Madīnah al-Munawwarah,al-Madiinah al-Munawwarah,al.madiːnah al.munawwarah,extended
789,"Orte, Geschichte & Zeit",Kaʿbah,Ka-bah,kaʕbah,extended
790,"Orte, Geschichte & Zeit",al-Kaʿbah,al-Ka-bah,al.kaʕbah,extended
791,"Orte, Geschichte & Zeit",al-Masǧid al-Ḥarām,al-Masdschid al-Haraam,al.masd͡ʒid al.ħaraːm,extended
792,"Orte, Geschichte & Zeit",al-Masǧid an-Nabawī,al-Masdschid an-Nabawii,al.masd͡ʒid an.nabawiː,extended
793,"Orte, Geschichte & Zeit",Masǧid Qubāʾ,Masdschid Qubaa-,masd͡ʒid qubaːʔ,extended
794,"Orte, Geschichte & Zeit",Bayt al-Maqdis,Bayt al-Maqdis,bajt al.maqdis,extended
795,"Orte, Geschichte & Zeit",al-Quds,al-Quds,al.quds,extended
796,"Orte, Geschichte & Zeit",Mina,Mina,mina,extended
797,"Orte, Geschichte & Zeit",ʿArafāt,-Arafaat,ʕarafaːt,extended
798,"Orte, Geschichte & Zeit",Zamzam,Zamzam,zamzam,extended
799,"Orte, Geschichte & Zeit",Ḥiǧāz,Hidschaaz,ħid͡ʒaːz,extended
800,"Orte, Geschichte & Zeit",Najd,Najd,najd,extended
801,"Orte, Geschichte & Zeit",Yaman,Yaman,jaman,extended
802,"Orte, Geschichte & Zeit",aš-Šām,asch-Schaam,aʃ.ʃaːm,extended
803,"Orte, Geschichte & Zeit",Dimashq,Dimashq,dimaʃq,extended
804,"Orte, Geschichte & Zeit",Baghdād,Baghdaad,baɣdaːd,extended
805,"Orte, Geschichte & Zeit",Baṣrah,Basrah,basˤrah,extended
806,"Orte, Geschichte & Zeit",Kūfah,Kuufah,kuːfah,extended
807,"Orte, Geschichte & Zeit",Miṣr,Misr,misˤr,extended
808,"Orte, Geschichte & Zeit",Badr,Badr,badr,extended
809,"Orte, Geschichte & Zeit",Uḥud,Uhud,uħud,extended
810,"Orte, Geschichte & Zeit",Khandaq,Khandaq,xandaq,extended
811,"Orte, Geschichte & Zeit",Ḥudaybiyyah,Hudaybiyyah,ħudajbijjah,extended
812,"Orte, Geschichte & Zeit",Khaybar,Khaybar,xajbar,extended
813,"Orte, Geschichte & Zeit",Ḥunayn,Hunayn,ħunajn,extended
814,"Orte, Geschichte & Zeit",Ṭāʾif,Taa-if,tˤaːʔif,extended
815,"Orte, Geschichte & Zeit",Tabūk,Tabuuk,tabuːk,extended
816,"Orte, Geschichte & Zeit",Muʾtah,Mu-tah,muʔtah,extended
817,"Orte, Geschichte & Zeit",Yarmūk,Yarmuuk,jarmuːk,extended
818,"Orte, Geschichte & Zeit",Qādisiyyah,Qaadisiyyah,qaːdisijjah,extended
819,"Orte, Geschichte & Zeit",Karbalaʾ,Karbala-,karbalaʔ,extended
820,"Orte, Geschichte & Zeit",Muḥarram,Muharram,muħarram,extended
821,"Orte, Geschichte & Zeit",Ṣafar,Safar,sˤafar,extended
822,"Orte, Geschichte & Zeit",Rabīʿ al-awwal,Rabii al-awwal,rabiːʕ al.awwal,extended
823,"Orte, Geschichte & Zeit",Rabīʿ al-ākhir,Rabii al-aakhir,rabiːʕ al.aːxir,extended
824,"Orte, Geschichte & Zeit",Rabīʿ aṯ-ṯānī,Rabii ath-thaanii,rabiːʕ aθ.θaːniː,extended
825,"Orte, Geschichte & Zeit",Ǧumādā al-ūlā,Dschumaadaa al-uulaa,d͡ʒumaːdaː al.uːlaː,extended
826,"Orte, Geschichte & Zeit",Ǧumādā al-ākhirah,Dschumaadaa al-aakhirah,d͡ʒumaːdaː al.aːxirah,extended
827,"Orte, Geschichte & Zeit",Raǧab,Radschab,rad͡ʒab,extended
828,"Orte, Geschichte & Zeit",Šaʿbān,Scha-baan,ʃaʕbaːn,extended
829,"Orte, Geschichte & Zeit",Šawwāl,Schawwaal,ʃawwaːl,extended
830,"Orte, Geschichte & Zeit",Ḏū al-Qaʿdah,Dhuu al-Qa-dah,ðuː al.qaʕdah,extended
831,"Orte, Geschichte & Zeit",Ḏū al-Ḥiǧǧah,Dhuu al-Hidschdschah,ðuː al.ħid͡ʒd͡ʒah,extended
832,"Orte, Geschichte & Zeit",ʿĀšūrāʾ,-Aaschuuraa-,ʕaːʃuːraːʔ,extended
833,"Orte, Geschichte & Zeit",ʿĪd al-Fiṭr,-Iid al-Fitr,ʕiːd al.fitˤr,extended
834,"Orte, Geschichte & Zeit",ʿĪd al-Aḍḥā,-Iid al-Adhaa,ʕiːd al.adˤħaː,extended
835,"Orte, Geschichte & Zeit",Hiǧrī,Hidschrii,hid͡ʒriː,extended
836,"Orte, Geschichte & Zeit",Hijrī,Hijrii,hijriː,extended
837,Bücher & Sammlungen,Ṣaḥīḥ al-Bukhārī,Sahiih al-Bukhaarii,sˤaħiːħ al.buxaːriː,extended
838,Bücher & Sammlungen,Ṣaḥīḥ Muslim,Sahiih Muslim,sˤaħiːħ muslim,extended
839,Bücher & Sammlungen,Sunan Abī Dāwūd,Sunan Abii Daawuud,sunan abiː daːwuːd,extended
840,Bücher & Sammlungen,Ǧāmiʿ at-Tirmiḏī,Dschaami at-Tirmidhii,d͡ʒaːmiʕ at.tirmiðiː,extended
841,Bücher & Sammlungen,Sunan an-Nasāʾī,Sunan an-Nasaa-ii,sunan an.nasaːʔiː,extended
842,Bücher & Sammlungen,Sunan Ibn Māǧah,Sunan Ibn Maadschah,sunan ibn maːd͡ʒah,extended
843,Bücher & Sammlungen,Musnad Aḥmad,Musnad Ahmad,musnad aħmad,extended
844,Bücher & Sammlungen,Sunan ad-Dārimī,Sunan ad-Daarimii,sunan ad.daːrimiː,extended
845,Bücher & Sammlungen,al-Muwaṭṭaʾ,al-Muwatta-,al.muwatˤtˤaʔ,extended
846,Bücher & Sammlungen,Muwaṭṭaʾ Mālik,Muwatta Maalik,muwatˤtˤaʔ maːlik,extended
847,Bücher & Sammlungen,Ṣaḥīḥ Ibn Khuzaymah,Sahiih Ibn Khuzaymah,sˤaħiːħ ibn xuzajmah,extended
848,Bücher & Sammlungen,Ṣaḥīḥ Ibn Ḥibbān,Sahiih Ibn Hibbaan,sˤaħiːħ ibn ħibbaːn,extended
849,Bücher & Sammlungen,Muṣannaf Ibn Abī Šaybah,Musannaf Ibn Abii Schaybah,musˤannaf ibn abiː ʃajbah,extended
850,Bücher & Sammlungen,Muṣannaf ʿAbd ar-Razzāq,Musannaf Abd ar-Razzaaq,musˤannaf ʕabd ar.razzaːq,extended
851,Bücher & Sammlungen,Tafsīr aṭ-Ṭabarī,Tafsiir at-Tabarii,tafsiːr atˤ.tˤabariː,extended
852,Bücher & Sammlungen,Tafsīr Ibn Kaṯīr,Tafsiir Ibn Kathiir,tafsiːr ibn kaθiːr,extended
853,Bücher & Sammlungen,Tafsīr al-Qurṭubī,Tafsiir al-Qurtubii,tafsiːr al.qurtˤubiː,extended
854,Bücher & Sammlungen,Tafsīr al-Baġawī,Tafsiir al-Baghawii,tafsiːr al.baɣawiː,extended
855,Bücher & Sammlungen,Fatḥ al-Bārī,Fath al-Baarii,fatħ al.baːriː,extended
856,Bücher & Sammlungen,Šarḥ Ṣaḥīḥ Muslim,Scharh Sahiih Muslim,ʃarħ sˤaħiːħ muslim,extended
857,Bücher & Sammlungen,Riyāḍ aṣ-Ṣāliḥīn,Riyaad as-Saalihiin,rijaːdˤ asˤ.sˤaːliħiːn,extended
858,Bücher & Sammlungen,Bulūġ al-Marām,Buluugh al-Maraam,buluːɣ al.maraːm,extended
859,Bücher & Sammlungen,al-Adab al-Mufrad,al-Adab al-Mufrad,al.adab al.mufrad,extended
860,Bücher & Sammlungen,al-ʿAqīdah al-Wāsiṭiyyah,al-Aqiidah al-Waasitiyyah,al.ʕaqiːdah al.waːsitˤijjah,extended
861,Bücher & Sammlungen,al-ʿAqīdah aṭ-Ṭaḥāwiyyah,al-Aqiidah at-Tahaawiyyah,al.ʕaqiːdah atˤ.tˤaħaːwijjah,extended
862,Bücher & Sammlungen,aš-Šarīʿah,asch-Scharii-ah,aʃ.ʃariːʕah,extended
863,Bücher & Sammlungen,as-Sunnah,as-Sunnah,as.sunnah,extended
864,Bücher & Sammlungen,Uṣūl as-Sunnah,Usuul as-Sunnah,usˤuːl as.sunnah,extended
865,Bücher & Sammlungen,Šarḥ Uṣūl Iʿtiqād Ahl as-Sunnah,Scharh Usuul I-tiqaad Ahl as-Sunnah,ʃarħ usˤuːl iʕtiqaːd ahl as.sunnah,extended
866,Bücher & Sammlungen,al-Ibānah,al-Ibaanah,al.ibaːnah,extended
867,Bücher & Sammlungen,Kitāb at-Tawḥīd,Kitaab at-Tawhiid,kitaːb at.tawħiːd,extended
868,Bücher & Sammlungen,Kitāb al-Īmān,Kitaab al-Iimaan,kitaːb al.iːmaːn,extended
869,Bücher & Sammlungen,Kitāb as-Sunnah,Kitaab as-Sunnah,kitaːb as.sunnah,extended
870,Bücher & Sammlungen,Majmūʿ al-Fatāwā,Majmuu al-Fataawaa,majmuːʕ al.fataːwaː,extended
871,Bücher & Sammlungen,Zād al-Maʿād,Zaad al-Ma-aad,zaːd al.maʕaːd,extended
872,Bücher & Sammlungen,Iʿlām al-Muwaqqiʿīn,I-laam al-Muwaqqi-iin,iʕlaːm al.muwaqqiʕiːn,extended
873,Bücher & Sammlungen,Madāriǧ as-Sālikīn,Madaaridsch as-Saalikiin,madaːrid͡ʒ as.saːlikiːn,extended
874,Bücher & Sammlungen,al-Bidāyah wa-n-Nihāyah,al-Bidaayah wa-n-Nihaayah,al.bidaːjah wa.n.nihaːjah,extended
875,Bücher & Sammlungen,Siyar Aʿlām an-Nubalāʾ,Siyar A-laam an-Nubalaa-,sijar aʕlaːm an.nubalaːʔ,extended
876,Bücher & Sammlungen,Tahḏīb al-Kamāl,Tahdhiib al-Kamaal,tahðiːb al.kamaːl,extended
877,Bücher & Sammlungen,Tahḏīb at-Tahḏīb,Tahdhiib at-Tahdhiib,tahðiːb at.tahðiːb,extended
878,Bücher & Sammlungen,Lisān al-Mīzān,Lisaan al-Miizaan,lisaːn al.miːzaːn,extended
879,Bücher & Sammlungen,al-Muġnī,al-Mughnii,al.muɣniː,extended
880,Bücher & Sammlungen,al-Majmūʿ,al-Majmuu-,al.majmuːʕ,extended
881,Bücher & Sammlungen,al-Mabsūṭ,al-Mabsuut,al.mabsuːtˤ,extended
882,Bücher & Sammlungen,Badāʾiʿ aṣ-Ṣanāʾiʿ,Badaa-i as-Sanaa-i-,badaːʔiʕ asˤ.sˤanaːʔiʕ,extended
883,Bücher & Sammlungen,Bidāyat al-Mujtahid,Bidaayat al-Mujtahid,bidaːjat al.mujtahid,extended
884,Bücher & Sammlungen,al-Mudawwanah,al-Mudawwanah,al.mudawwanah,extended
885,Bücher & Sammlungen,al-Umm,al-Umm,al.umm,extended
886,"Allah, Lobpreisungen & Grußformeln",الله,Allaah,ʔalˈlaːh,core
887,"Allah, Lobpreisungen & Grußformeln",ﷺ,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
888,"Allah, Lobpreisungen & Grußformeln",عليه السلام,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
889,"Allah, Lobpreisungen & Grußformeln",عليها السلام,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
890,"Allah, Lobpreisungen & Grußformeln",عليهما السلام,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
891,"Allah, Lobpreisungen & Grußformeln",رضي الله عنه,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
892,"Allah, Lobpreisungen & Grußformeln",رضي الله عنها,Radiyallaahu anhaa,radˤi.jalˈlaːhu ʕanhaː,core
893,"Allah, Lobpreisungen & Grußformeln",رضي الله عنهما,Radiyallaahu anhumaa,radˤi.jalˈlaːhu ʕanhumaː,core
894,"Allah, Lobpreisungen & Grußformeln",رضي الله عنهم,Radiyallaahu anhum,radˤi.jalˈlaːhu ʕanhum,core
895,"Allah, Lobpreisungen & Grußformeln",رحمه الله,Rahimahullaah,raħimahulˈlaːh,core
896,"Allah, Lobpreisungen & Grußformeln",بسم الله,Bismillaah,bismilˈlaːh,core
897,"Allah, Lobpreisungen & Grußformeln",الحمد لله,Alhamdulillaah,alħamdu lilˈlaːh,core
898,"Allah, Lobpreisungen & Grußformeln",سبحان الله,Subhaanallaah,subħaːnalˈlaːh,core
899,"Allah, Lobpreisungen & Grußformeln",الله أكبر,Allaahu Akbar,alˈlaːhu ʔakbar,core
900,"Allah, Lobpreisungen & Grußformeln",لا إله إلا الله,Laa ilaaha illallaah,laː ʔilaːha ʔilˈlaː lˈlaːh,core
